,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
0,462809,Male,No,22.0,No,Healthcare,1.0,Low,4.0,4.0,11.658,8.241,5.5920000000000005,-0.213,D
1,462643,Female,Yes,38.0,Yes,Engineer,2.638210266264068,Average,3.0,4.0,2.525,4.5089999999999995,2.971,2.759,A
2,466315,Female,Yes,67.0,Yes,Engineer,1.0,Low,1.0,6.0,4.481,2.209,5.629,2.029,B
3,461735,Male,Yes,67.0,Yes,Lawyer,0.0,High,2.0,6.0,2.195,6.577999999999999,6.471,2.115,B
4,462669,Female,Yes,40.0,Yes,Entertainment,2.638210266264068,High,6.0,6.0,6.78,7.939,1.685,0.8909999999999999,A
5,461319,Male,Yes,56.0,No,Artist,0.0,Average,2.0,6.0,15.216,12.214,19.679000000000002,8.257,C
6,460156,Male,No,32.0,Yes,Healthcare,1.0,Low,3.0,6.0,15.411,7.305,7.678999999999999,7.151,C
7,464347,Female,No,33.0,Yes,Healthcare,1.0,Low,3.0,6.0,7.412000000000001,1.0859999999999999,5.155,5.622999999999999,D
8,465015,Female,Yes,61.0,Yes,Engineer,0.0,Low,3.0,7.0,7.341,5.757999999999999,7.612,2.832,D
9,465176,Female,Yes,55.0,Yes,Artist,1.0,Average,4.0,6.0,13.307,15.061,6.439,13.517000000000001,C
10,464041,Female,No,26.0,Yes,Engineer,1.0,Low,3.0,6.0,8.413,5.497999999999999,2.436,4.272,A
11,464942,Male,No,19.0,No,Healthcare,4.0,Low,4.0,4.0,10.24,5.529,13.512,2.9019999999999997,D
12,461230,Female,No,19.0,No,Executive,0.0,Low,3.0,3.0,14.247,3.068,9.298,4.067,D
13,459573,Male,Yes,70.0,No,Lawyer,2.638210266264068,Low,1.0,6.0,8.561,4.6739999999999995,5.771,4.949,A
14,460849,Female,Yes,58.0,No,Doctor,0.0,Low,1.0,3.0,0.919,5.11,8.089,8.515,B
15,460563,Female,No,41.0,No,Healthcare,1.0,Low,2.0,1.0,15.668,10.149,10.259,8.781,C
16,466865,Female,No,32.0,No,Homemaker,9.0,Low,5.0,3.0,13.408,5.46,8.804,1.577,D
17,461644,Male,No,31.0,No,Healthcare,1.0,Low,6.0,6.0,-1.9169999999999998,3.0039999999999996,0.363,2.6710000000000003,B
18,466772,Male,Yes,58.0,Yes,Entertainment,1.0,Average,4.0,6.0,3.6830000000000003,8.312999999999999,0.315,0.583,B
19,464291,Female,Yes,79.0,Yes,Artist,0.0,High,1.0,6.0,16.65,6.68,10.262,12.559000000000001,C
20,466084,Male,Yes,49.0,Yes,Homemaker,12.0,Low,1.0,3.0,9.902999999999999,5.64,1.777,5.12,A
21,459675,Female,No,18.0,No,Healthcare,3.0,Low,4.0,6.0,12.954,-4.479,7.789,4.802,D
22,465602,Male,Yes,33.0,Yes,Artist,13.0,Low,2.0,3.0,9.228,1.375,1.1740000000000002,2.594,A
23,459168,Female,No,36.0,Yes,Artist,5.0,Low,2.0,6.0,2.4290000000000003,1.001,3.239,0.818,B
24,461021,Female,Yes,58.0,No,Executive,1.0,Average,3.0,3.0,4.266,-0.395,1.745,4.149,B
25,465083,Male,Yes,56.0,No,Artist,1.0,Average,3.0,6.0,16.406,18.369,5.072,16.296,C
26,467604,Male,No,31.0,No,Healthcare,9.0,Low,8.0,4.0,8.715,5.5729999999999995,2.627,3.7,A
27,459717,Male,Yes,49.0,Yes,Artist,1.0,Average,3.0,6.0,8.548,9.267000000000001,11.908,9.073,C
28,465882,Male,No,35.0,Yes,Artist,0.0,Low,1.0,6.0,1.4069999999999998,4.54,3.035,-0.8590000000000001,B
29,461996,Female,No,35.0,No,Artist,5.0,Low,4.0,6.0,17.675,14.345,7.412000000000001,9.545,C
30,463331,Female,Yes,45.0,Yes,Artist,0.0,Low,3.0,6.0,15.638,10.501,-0.8540000000000001,11.379000000000001,C
31,462216,Female,Yes,42.0,No,Doctor,1.0,Low,2.0,4.0,4.421,8.165,2.033,4.637,A
32,462454,Male,No,19.0,No,Healthcare,1.0,Low,3.0,2.0,6.47,3.468,5.81,-1.018,D
33,467010,Male,No,26.0,No,Homemaker,9.0,Low,3.0,6.0,0.69,5.944,9.411,9.075,D
34,459861,Female,Yes,83.0,No,Lawyer,1.0,High,2.0,6.0,4.437,5.917999999999999,10.008,1.675,D
35,467917,Female,No,27.0,Yes,Healthcare,3.0,Low,4.0,1.0,6.752000000000001,0.237,8.462,8.317,D
36,465572,Male,No,32.0,No,Doctor,5.0,Low,1.0,4.0,2.4219999999999997,5.52843433208488,10.718,1.238,D
37,460593,Female,Yes,28.0,No,Healthcare,1.0,Average,5.0,3.0,8.287,7.564,6.837000000000001,-1.867,D
38,465891,Female,Yes,28.0,Yes,Artist,8.0,Low,2.0,6.0,2.533,0.696,3.6839999999999997,5.135,A
39,467442,Male,Yes,56.0,Yes,Artist,2.638210266264068,Average,2.0,6.0,12.32,17.686,6.227,10.390999999999998,C
40,462044,Female,No,47.0,Yes,Artist,4.0,Low,1.0,6.0,1.12,4.093999999999999,5.697,3.417,B
41,465686,Female,No,22.0,No,Healthcare,0.0,Low,2.0,6.0,8.696,1.734,5.773,2.7460000000000004,D
42,464590,Female,No,27.0,Yes,Artist,14.0,Low,3.0,6.0,7.709,11.855,1.245,0.545,A
43,466006,Female,Yes,49.0,Yes,Artist,1.0,Low,2.0,5.0,13.8,9.902000000000001,15.63,15.457,C
44,466152,Male,Yes,40.0,No,Engineer,8.0,Low,1.0,6.0,2.2640000000000002,2.898,5.272,3.2739999999999996,A
45,463156,Female,Yes,79.0,No,Lawyer,2.638210266264068,High,2.0,6.0,8.826,5.602,5.806,5.859,A
46,465729,Male,Yes,41.0,Yes,Artist,0.0,Average,4.0,4.0,4.018,4.706,3.659,4.331,B
47,462384,Female,No,29.0,Yes,Healthcare,2.638210266264068,Low,1.0,7.0,4.997,4.669,1.103,2.571,A
48,462442,Male,No,40.0,No,Healthcare,0.0,Low,4.0,6.0,11.52,4.212,8.167,8.217,D
49,464191,Female,No,45.0,Yes,Engineer,1.0,Low,1.0,6.0,5.972,4.837,4.504,5.132000000000001,A
50,462078,Female,Yes,61.0,No,Artist,1.0,Average,2.0,2.0,-1.7369999999999999,1.6019999999999999,5.56,-2.7460000000000004,B
51,467873,Female,Yes,36.0,Yes,Artist,1.0,Average,2.0,6.0,10.967,5.593999999999999,11.629000000000001,4.338,C
52,461270,Male,Yes,40.0,Yes,Artist,1.0,Low,1.0,3.0,4.564,2.075,2.406,5.955,A
53,462960,Female,Yes,57.0,Yes,Entertainment,0.0,Average,2.0,6.0,8.353,8.229,2.229,11.597999999999999,C
54,464961,Male,Yes,76.0,No,Marketing,1.0,Low,1.0,4.0,6.32,6.3660000000000005,2.484,4.654,A
55,462110,Male,Yes,32.0,Yes,Artist,14.0,Average,2.0,6.0,-1.062,0.314,2.938,-3.26,B
56,465769,Male,No,25.0,Yes,Healthcare,9.0,Low,4.0,6.0,8.455,-1.889,5.575,2.863,D
57,462267,Male,No,32.0,No,Doctor,8.0,Low,2.0,6.0,11.789000000000001,5.01,9.157,-3.845,D
58,465269,Female,Yes,45.0,Yes,Artist,1.0,Average,3.0,3.0,16.256,8.433,10.575999999999999,12.369000000000002,C
59,460881,Male,Yes,72.0,Yes,Lawyer,1.0,Low,3.0,4.0,6.566,1.946,9.392000000000001,7.394,D
60,461891,Male,Yes,48.0,Yes,Artist,0.0,Average,2.0,6.0,7.794,14.314,6.995,4.079,C
61,466935,Male,Yes,55.0,Yes,Artist,9.0,Average,2.0,1.0,12.18,7.561,13.884,-0.7879999999999999,C
